To abate;[əˈbeɪt];Сокращать, уменшать, ослаблять
To abjure;[əbˈʤʊə];Отказаться, отрекаться, воздерживаться
To dangle;[ˈdæŋgl];Болтаться, зависать, висеть
To abscond;[əbˈskɒnd];Скрыться, пропасть, уйти
To assuage;[əˈsweɪʤ];Успокаивать, утешать, усмирять
To disabuse;[ˌdɪsəˈbjuːz];Разочаровать, расстроить, развенчать
To equivocate;[ɪˈkwɪvəkeɪt];Увиливать, оправдываться, оспаривать
To incise;[ɪnˈsaɪz];Надрезать
To diminish;[dɪˈmɪnɪʃ];Уменьшать
To jeopardize;[ˈʤɛpədaɪz];Ставить под угрозу
To breed;[briːd];Размножаться
To prevaricate;[prɪˈværɪkeɪt];Преувеличивать
To recant;[rɪˈkænt];Отказаться от показаний
To refute;[rɪˈfjuːt];Опровергать
To ignoble;[ɪgˈnəʊbl];Обольстить
To banish;[ˈbænɪʃ;Изгнать
To disavow;[ˌdɪsəˈvaʊ];Отречься
To explode;[ɪksˈpləʊd];Взорваться
To unearth;[ ʌnˈɜːθ];Раскопать
To depict;[dɪˈpɪkt];Отобразить
To unpick;[ʌnˈpɪk];Распарывать, распустить
To originate;[əˈrɪʤɪneɪt];Зарождаться
To pluck;[plʌk];Вырывать
To amass;[əˈmæs];Накапливать
To staff;[stɑːf];Укомплектовать
To shrink;[ʃrɪŋk];Сокращаться
To mold;[məʊld];Лепить
To contrive;[kənˈtraɪv];Придумывать
To entice;[ɪnˈtaɪs];Завлекать
To pervade;[pɜːˈveɪd];Пронизывать
To prevail;[prɪˈveɪl];Преобладать
To supersede;[ˌsjuːpəˈsiːd];Вытеснять
To redeem;[rɪˈdiːm];Выкупить
To wrack;[ræk];Потревожить
To mesh;[mɛʃ];Зацеплять
To render;[ˈrɛndə];Оказывать
To lease;[liːs];Сдать в аренду
To stipulate;[ˈstɪpjʊleɪt];Оговаривать
To decree;[dɪˈkriː];Постановить
To reminisce;[ˌrɛmɪˈnɪs];Вспоминать
