Neglect;Пренебрежение
Prerequisite;Обязательное условие, предпосылка
Veracity;Правдивость, достоверность
Ubiquity;Вездесущность
Appeal;Апелляция, обжалование
Knob;Ручка
Mentality;Менталитет
Outcome;Результат
Sycophant;Угодник
Serendipity;Случайность
Equanimity;Невозмутимость
Inefficacy;Неэффективность
Advocate;Адвокат, защитник
Hypocrisy;Лицемерие
Bias;Предвзятость
Bid;Ставка
Clarity;Ясность
Extremist;Экстремист
Hostage;Заложник
Integrate;Интегрировать, объединять
Comprehend;Постичь
Acknowledge;Подтвердить
Facilitate;Способствовать, облегчать
Scrutinize;Тщательно изучать, анализировать
Contradict;Противоречить
Enhance;Улучшать, увеличивать
Substantiate;Подтверждать, обосновывать
Dedicate;Отдавать, посвящать
Resonate;Вибрировать, резонировать
Ambiguous;Неоднозначный
Ephemeral;Самопроизвольный, эфемерный
Esoteric;Эзотерический
Nefarious;Отвратительный, мерзкий
Pernicious;Вредный, пагубный
Erudite;Образованный
Quintessential;Классический, типичный
Mellifluous;Мелодичный
Voracious;Прожорливый
Superfluous;Лишний, чрезмерный
Concomitant;Сопутствующий
Surreptitious;Тайный, скрытый
Incontrovertible;Бесспорный
Perspicacious;Проницательный
Recalcitrant;Непокорный
Insuperable;Непобедимый, неодолимый, непреодолимый
Elaborate;Развернутый, детальный
Well-versed;Осведомленный
Inevitable;Неизбежный
Articulate;Выразительный, четкий
Diligent;Пристальный, старательный
Eloquent;Красноречивый
Exemplary;Образцовый
Proficient;Высокопрофессиональный, опытный
Ubiquitous;Вездесущий
Robust;Прочный
Authentic;Аутентичный
Convoluted;Запутанный
Ineffable;Невыразимый
Obfuscate;Затуманить
Exemplify;Иллюстрировать, демонстрировать
Flourish;Процветать, расцветать
Sustain;Поддерживать, сохранять
Bind;Связывать
Clash;Столкнуться
Condemn;Осуждать
Imply;Предполагать
Nurse;Ухаживать
