To abolish;[əˈbɒlɪʃ];Отменять, уничтожать, упразднять
To approve;[əˈpruːv];Утвердить, одобрить
To boast;[bəʊst];Гордиться, хвастаться
To contribute;[kənˈtrɪbju(ː)t];Жертвовать, вносить свой вклад
To deliver;[dɪˈlɪvə];Доставлять, поставлять, приносить
To descend;[dɪˈsɛnd];Спуститься, сходить, снизойти
To concentrate;[ˈkɒnsəntreɪt];Сосредотачиваться
To distract;[dɪsˈtrækt];Отвлечь, отвлекать
To torture;[ˈtɔːʧə];Мучить, терзать
To confuse;[kənˈfjuːz];Путать, запутать, сбить с толку
To abandon;[əˈbændən];Покинуть, бросить, оставить
To escape;[ɪsˈkeɪp];Совершить побег, убежать, сбежать
To distribute;[dɪsˈtrɪbju(ː)t];Распространять, распределить
To elaborate;[ɪˈlæbərɪt];Разрабатывать, прорабатывать
To construct;[kənˈstrʌkt];Строить, построить
To humiliate;[hju(ː)ˈmɪlɪeɪt];Унижать
To maintain;[meɪnˈteɪn];Поддерживать
To squeeze;[skwiːz];Сжимать, выжимать, сжать
To delegate;[ˈdɛlɪgɪt];Делегировать, посылать
To transfer;[ˈtrænsfə(ː)];Передавать, перечислять
To employ;[ɪmˈplɔɪ];Нанимать, использовать, работать
To catch;[kæʧ];Поймать, ловить
To commit;[kəˈmɪt];Совершить, зафиксировать, поручить
To arrange;[əˈreɪnʤ];Организовать, устроить
To implement;[ˈɪmplɪmənt];Внедрить, реализовать, осуществить
To insulate;[ˈɪnsjʊleɪt];Ограждать
To encourage;[ɪnˈkʌrɪʤ];Стимулировать
To foster;[ˈfɒstə];Поощрять
To boost;[buːst];Повышать
To optimize;[ˈɒptɪmaɪz];Оптимизировать
To rank;[ræŋk];Ранжировать
To identify;[aɪˈdɛntɪfaɪ];Определить, идентифицировать
To empower;[ɪmˈpaʊə];Наделить полномочиями, расширять
To ensure;[ɪnˈʃʊə];Обеспечить, убедить, гарантировать
To accomplish;[əˈkɒmplɪʃ];Выполнить, завершить, осуществить
To customize;[ˈkʌstəˌmaɪz];Настроить, сделать
To localize;[ˈləʊkəlaɪz];Локализовать, определить
To tailor;[ˈteɪlə];Приспособить
To validate;[ˈvælɪdeɪt];Удостоверять
To reserve;[rɪˈzɜːv];Резервировать
To estimate;[ˈɛstɪmɪt];Оценивать
To consulate;[ˈkɒnsjʊlɪt];Консультировать
To regard;[rɪˈgɑːd];Рассматривать, учитывать, относиться
To indicate;[ˈɪndɪkeɪt];Указывать, обозначать, показывать
To unify;[juːnɪfaɪ];Объединять
To digitalize;[ˈdɪdʒɪtəlaɪz];Оцифровать, перевести в online-формат
To expose;[ɪksˈpəʊz];Подвергать
To idealize;[ aɪˈdɪəlaɪz];Идеализировать
To navigate;[ˈnævɪgeɪt];Ориентироваться
To sustain;[səsˈteɪn];Выдерживать
To constrain;[kənˈstreɪn];Сдерживать
To evade;[ɪˈveɪd];Обойти
To purchase;[ˈpɜːʧəs];Приобретать
To earn;[ɜːn];Зарабатывать
To make sure;[meɪk ʃʊə];Убедиться
To prototype;[ˈprəʊtəʊtaɪp];Создать протопит, план
