To abhor;[əbˈhɔː];Ненавидеть
To abrogate;[ˈæbrəʊgeɪt];Отменить
To abstain;[əbˈsteɪn];Воздержаться
To strengthen;[ˈstrɛŋθən];Укрепить, усилить
To yield;[jiːld];Уступить
To sustain;[səsˈteɪn];Поддерживать
To seize;[siːz];Захватить
To nourish;[ˈnʌrɪʃ];Питать
To desist;[dɪˈzɪst];Запретить
To recapitulate;[riːkəˈpɪtjʊleɪt];Пересказывать
To proclaim;[prəˈkleɪm];Провозгласить, объявить
To beget;[bɪˈgɛt];Родить
To mature;[məˈtjʊə];Созреть
To contemplate;[ˈkɒntɛmpleɪt];Созерцать
To flourish;[ˈflʌrɪʃ];Процветать
To cable;[ˈkeɪbl];Проводить
To congregate;[ˈkɒŋgrɪgeɪt];Собираться
To induce;[ɪnˈdjuːs];Побудить, побуждать
To highlight;[ˈhaɪˌlaɪt];Выделять
To foretell;[fɔːˈtɛl];Предсказывать
To foreshadow;[fɔːˈʃædəʊ];Предвещать
To interlace;[ɪntə(ː)ˈleɪs];Переплетать
To relish;[ˈrɛlɪʃ];Наслаждаться, смаковать
To tread;[trɛd];Ухаживать
To rehearse;[rɪˈhɜːs];Репетировать
To narrate;[nəˈreɪt];Рассказывать
To alleviate;[əˈliːvɪeɪt];Облегчать, облегчить
To bilk;[bɪlk];Обналичивать
To refine;[rɪˈfaɪn];Усовершенствовать
To restructure;[riːˈstrʌkʧə];Реструктурировать
To decay;[dɪˈkeɪ];Распадаться
To corrupt;[kəˈrʌpt];Развращать
To alter;[ˈɔːltə];Изменяться
To discern;[dɪˈsɜːn];Различить
To disclose;[dɪsˈkləʊz];Раскрыть
To inscribe;[ɪnˈskraɪb];Начертать
To proffer;[ˈprɒfə];Предложить
To meddle;[ˈmɛdl];Вмешиваться
To violate;[ˈvaɪəleɪt];Нарушать
To further;[ˈfɜːðə];Продолжать
To humble;[hʌmbl];Смирять
To subdue;[səbˈdjuː];Покорять
To demote;[dɪˈməʊt];Понижать, разжаловать
To obey;[əˈbeɪ];Подчиняться, слушаться
To employ;[ɪmˈplɔɪ];Нанимать
To chastise;[ʧæsˈtaɪz];Наказывать
To concoct;[kənˈkɒkt];Придумать
To condone;[kənˈdəʊn];Потворствовать
To cringe;[krɪnʤ];Сокрушаться
To ensconce;[ɪnˈskɒns];Приютить, успокоить
To sanction;[ˈsæŋkʃən];Наказывать
To affix;[ˈæfɪks];Прикрепить, зафиксировать
To curb;[kɜːb];Ограничить, обуздать
To restrain;[rɪsˈtreɪn];Сдерживать
To enlarge;[ɪnˈlɑːʤ];Увеличить, повысить
To govern;[ˈgʌvən];Управлять
To reckon;[ˈrɛkən];Пересчитать
To esteem;[ɪsˈtiːm];Ценить, уважать
To sweeten;[swiːtn];Подсластить
To fluctuate;[ˈflʌktjʊeɪt];Колебаться
To fare;[feə];Зависеть, дорожать, подвергаться
To halt;[hɔːlt];Остановить, останавливать
To endure;[ɪnˈdjʊə];Выдержать, выдерживать
To revenge;[rɪˈvɛnʤ];Мстить
To attain;[əˈteɪn];Достигать, достичь
To divest;[daɪˈvɛst];Расставаться
To elucidate;[ɪˈluːsɪdeɪt];Прояснить
To invent;[ɪnˈvɛnt];Изобретать, придумывать
To shield;[ʃiːld];Защищать
To resemble;[rɪˈzɛmbl];Походить, быть похожим, напоминать
To ingest;[ ɪnˈʤɛst];Проглотить, заглотить
To dispense;[dɪsˈpɛns];Раздавать, дозировать, выдавать
To match;[mæʧ];Соответствовать
To engross;[ɪnˈgrəʊs];Вовлечь, увлечь, задействовать
To collude;[kəˈluːd];Сговориться, войти
To split;[splɪt];Разделить, разрушить
To unveil;[ʌnˈveɪl];Раскрыть, огласить, показать
To bear;[beə];Выносить, выдерживать, рожать
To prompt;[prɒmpt];Подсказать, побудить
To mold;[məʊld];Лепить, формировать
To rub;[rʌb];Натирать, втирать, растирать
To stomp;[stɒmp];Топтать, затоптать
To narrate;[nəˈreɪt;Рассказывать, повествовать
To sense;[sɛns];Чувствовать, понимать
To outdate;[ˈaʊtˌdeɪt];Устаревать
To clutter;[ˈklʌtə];Загромождать, захламить
To scrabble;[ˈskræbl];Царапать
To accuse;[əˈkjuːz];Обвинять
To summon;[ˈsʌmən];Вызвать, созвать
To outfit;[ˈaʊtfɪt];Снарядить, обмундировать
To convert;[ˈkɒnvɜːt];Преобразовать
To override;[əʊvəˈraɪd];Переопределить, перераспределить
To bind;[baɪnd];Связать
To nurture;[ˈnɜːʧə];Воспитывать
To recount;[riːˈkaʊnt];Пересказывать
To backlog;[ˈbæklɒg];Отставать
To inspectorate;[ɪnˈspɛktərɪt];Инспектировать, проверять
To unearth;[ʌnˈɜːθ];Раскопать
To demote;[dɪˈməʊt];Понизить в должности, разжаловать
To trap;[træp];Заманить в ловушку
questionnaire;[ˌkwɛstɪəˈneə];Анкета, опросник
oversight;[ˈəʊvəsaɪt];Надзор, контроль, проверка
stewardship;[ˈəʊvəsaɪt];Ответственность, управление
estimating;[ˈɛstɪmeɪtɪŋ];Оценивание, подсчет, оценка
inquiry;[ɪnˈkwaɪəri];Исследование, опрос, изучение, следствие
contemplation;[ˌkɒntɛmˈpleɪʃən];Размышление, обдумывание, рассуждение
alternative;[ɔːlˈtɜːnətɪv];Альтернатива
grade;[greɪd];Класс, ранг, балл, оценка
graduate;[ˈgrædjʊət];Выпускник, дипломник
credential;[krɪˈdɛnʃəl];Диплом, аттестат, свидетельство
accolade;[ækəʊleɪd];Награда, похвала, благодарность
scale;[skeɪl];Шкала, величина
gliding;[ˈglaɪdɪŋ];Планерка
record;[ˈrɛkɔːd];Запись, досье, рекорд
